ANO_MES,PRODUTO,#TP_SEGURO,AREA_AMPARADA_ADESAO,AREA_AMPARADA_ComCOP,AREA_AMPARADA_ComCOP_DEFERIDA,QTD_ADESAO,QTD_ComCOP,QTD_ComCOP_DEFERIDA,VL_AMPARADO_ComCOP_DEF,VL_COBERTURA_ComCOP_DEFERIDA_DEF,VL_ADICIONAL_ADESAO_DEF
2013-02-01,ALFACE,PROAGRO MAIS,83.41,0.0,0.0,66,0.0,0.0,0.0,0.0,48385.13168171067
2013-02-01,ALFAFA,PROAGRO TRADICIONAL,4.36,0.0,0.0,2,0.0,0.0,0.0,0.0,357.92201899834737
2013-02-01,ALGODÃO,PROAGRO MAIS,5.0,0.0,0.0,1,0.0,0.0,0.0,0.0,347.6325986923039
2013-02-01,ALHO,PROAGRO MAIS,6.4399999999999995,0.0,0.0,5,0.0,0.0,0.0,0.0,4755.1314117791235
2013-02-01,AMEIXA,PROAGRO MAIS,6.79,0.0,0.0,3,0.0,0.0,0.0,0.0,4014.7465150065204
2013-02-01,AMEIXA,PROAGRO TRADICIONAL,10.37,10.37,10.37,1,1.0,1.0,295533.3607992414,179122.50609029896,8867.29232362945
2013-02-01,AMENDOIM,PROAGRO MAIS,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,145.62880693687578
2013-02-01,ARROZ,PROAGRO MAIS,1233.68,0.0,0.0,181,0.0,0.0,0.0,0.0,67591.61593259577
2013-02-01,ARROZ,PROAGRO TRADICIONAL,406.23,0.0,0.0,7,0.0,0.0,0.0,0.0,46516.00526197835
2013-02-01,AVEIA,PROAGRO MAIS,102.0,50.0,50.0,3,1.0,1.0,98557.6657666999,14174.484644434164,3783.4119619189223
2013-02-01,AVEIA,PROAGRO TRADICIONAL,58.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2398.992142427243
2013-02-01,BANANA,PROAGRO MAIS,499.43,37.24,31.240000000000002,152,8.0,7.0,516755.89737917605,159257.5383628934,110257.1703084007
2013-02-01,BANANA,PROAGRO TRADICIONAL,23.0,0.0,0.0,4,0.0,0.0,0.0,0.0,9376.145551982921
2013-02-01,BATATA-DOCE,PROAGRO MAIS,22.229999999999997,0.0,0.0,8,0.0,0.0,0.0,0.0,3596.9605698214796
2013-02-01,BATATA-DOCE,PROAGRO TRADICIONAL,27.61,0.0,0.0,8,0.0,0.0,0.0,0.0,3111.879450450936
2013-02-01,BATATA-INGLESA,PROAGRO MAIS,22.84,0.0,0.0,13,0.0,0.0,0.0,0.0,14950.409435482241
2013-02-01,BATATA-INGLESA,PROAGRO TRADICIONAL,111.49,0.0,0.0,36,0.0,0.0,0.0,0.0,66955.03196940866
2013-02-01,BERINJELA,PROAGRO MAIS,9.06,0.0,0.0,10,0.0,0.0,0.0,0.0,6463.096336449726
